Preco,Tamanho,CEP,Tipo_Imovel,Status_Imovel,Status_Aluguel,Cidade
462000,43676,TW7 6BS,Apartamento,Antigo,Alugado,Brusque
1025000,43518,N10 3TA,Apartamento,Antigo,Alugado,Natal
460000,43773,N15 4LQ,Cobertura,Antigo,Vazio,Natal
575000,43728,W3 8EL,Apartamento,Antigo,Alugado,Natal
426000,40182,SW11 3AB,Apartamento,Antigo,Alugado,Natal
904125,44026,SW20 8EJ,Cobertura,Antigo,Vazio,Natal
850000,44027,TW9 2PL,Cobertura,Antigo,Vazio,Osasco
380000,43945,KT9 2BL,Cobertura,Antigo,Vazio,Belo Horizonte
742500,44013,SM2 6LZ,Casa sem Quintal,Antigo,Vazio,Londrina
380000,44036,SM3 9SE,Cobertura,Antigo,Vazio,Londrina
1568000,44022,KT6 6PU,Casa com Quintal,Antigo,Vazio,Rio de Janeiro
815000,44028,KT2 6LG,Casa sem Quintal,Antigo,Vazio,Rio de Janeiro
430000,44025,CR4 3BA,Cobertura,Antigo,Vazio,Rio de Janeiro
600000,44033,SM3 8LB,Casa sem Quintal,Antigo,Vazio,Londrina
671500,44015,SM2 6ET,Casa sem Quintal,Antigo,Vazio,Londrina
390000,44027,CR0 7AP,Cobertura,Antigo,Vazio,Fortaleza
3290000,44029,TW10 6QJ,Cobertura,Antigo,Vazio,Osasco
445000,43998,SE25 5NQ,Cobertura,Antigo,Vazio,Natal
460000,44015,CR0 6JF,Casa sem Quintal,Antigo,Vazio,Fortaleza
485000,44015,CR0 8DX,Casa com Quintal,Antigo,Vazio,Fortaleza
885000,44014,SW19 1HS,Cobertura,Antigo,Vazio,Natal
417000,44022,SM1 3PE,Cobertura,Antigo,Vazio,Londrina
555000,44029,KT5 9BZ,Cobertura,Antigo,Vazio,Rio de Janeiro
800000,44022,SW20 8JZ,Cobertura,Antigo,Vazio,Natal
1248000,40598,N6 5NX,Cobertura,Antigo,Vazio,Natal
228000,40770,N8 7PG,Apartamento,Antigo,Alugado,Natal
580000,40676,SW18 1AN,Cobertura,Antigo,Vazio,Natal
322500,40599,EC2A 4QS,Apartamento,Antigo,Alugado,Natal
237500,40550,N8 7PG,Apartamento,Antigo,Alugado,Natal
243000,40858,N8 7PG,Apartamento,Antigo,Alugado,Natal
90000,40898,N1 5TQ,Apartamento,Antigo,Alugado,Natal
225000,39792,SM4 4LZ,Cobertura,Antigo,Vazio,Santos
240000,39643,N8 7PG,Apartamento,Antigo,Alugado,Natal
205000,39660,SE9 3DR,Cobertura,Antigo,Vazio,Natal
2400000,39527,NW3 7HL,Casa com Quintal,Antigo,Vazio,Natal
480000,43780,N16 9PH,Apartamento,Antigo,Alugado,Natal
470000,43665,N4 2QY,Apartamento,Antigo,Alugado,Natal
1280000,43763,W5 2JB,Apartamento,Antigo,Alugado,Natal
325000,43759,UB7 8EU,Cobertura,Antigo,Vazio,Rio de Janeiro
